name
A. D. Hope
A. E. Housman
A. E. Stallings
A. R. Ammons
A. S. J. Tessimond
A. W. Yrjänä
Ab'ul Hasan Yamīn ud-Dīn Khusrow
Abby B. Hyde
Abd al-Wahhab Abu Zayd
Abdillahi Suldaan Mohammed Timacade
Abdulrahman Adel Al-Shammari
Abhay K
Franciszka Arnsztajnowa
Frank Judge
Frank O'Hara
Franklin Rosemont
Franz Grillparzer
Franz Werfel
Franz Wright
François Villon
François de Malherbe
Fred Chappell
Frederick George Scott
Frederick William Faber
Friedrich Gottlieb Klopstock
Friedrich Hölderlin
Friedrich Nietzsche
Friedrich Rückert
Friedrich Schiller
Fruzina Szalay
Frédéric Mistral
Fukuda Chiyo-ni
"Fulke Greville, 1st Baron Brooke"
Fyodor Tyutchev
G S Fraser
G. K. Chesterton
Gabino Coria Peñaloza
Gabor G. Gyukics
Gabriela Mistral
Gabriele D'Annunzio
Gaius Lucilius
Gajanan Digambar Madgulkar
Galway Kinnell
Gary Snyder
Gary Soto
Gary Tillery
Gavin Douglas
Gavin Ewart
Gavril Stefanović Venclović
Geeta Tripathee
Gellu Naum
Genan Wakil
Gene Frumkin
Gennady Aygi
Genrikh Sapgir
Geoffrey Brock
Geoffrey Chaucer
Geoffrey Grigson
Geoffrey Hill
Georg Büchner
Georg Thurmair
Georg Trakl
George Bacovia
George Barker
George Bazeley Scurfield
George Benson Johnston
George Campbell Hay
George Chapman
George Coșbuc
George Crabbe
George Eliot
George Elliott Clarke
George Gascoigne
George Gomri
George Gordon Byron
Lord Byron
George Herbert
George Lyttelton
George MacBeth
George MacDonald
George Mackay Brown
George Meredith
George Moses Horton
George Murnu
George Murray
George Oppen
George Parks Hitchcock
George Seferis
George Starbuck
George Stepney
George Sterling
George Szirtes
George Turberville
George Watsky
George Wither
George Woodcock
Georges Rodenbach
Georges Schehadé
Georgia Douglas Johnson
Gerald Stern
Gerard Manley Hopkins
Gerbrand Adriaensz Bredero
Gergely Czuczor
Gerhart Hauptmann
Gertrude Stein
Gevorg Emin
Gherasim Luca
Giacomo Leopardi
Giambattista Marino
Giannina Braschi
Giglio Gregorio Giraldi
Gil Scott-Heron
Gilbert Adair
Gilbert Hay
Gilbert West
Giles Fletcher the Elder
Giles Fletcher the Younger
Gillebríghde Albanach
Gilles Vigneault
Gillian Clarke
Gioconda Belli
Giosuè Carducci
Giovanni Boccaccio
Giovanni Pascoli
Giuseppe Gioachino Belli
Giuseppe Giusti
Giuseppe Ungaretti
Glyn Maxwell
Goffredo Mameli
Gojko Đogo
Gopal Prasad Rimal
Gopi Kottoor
Gordon Bottomley
Gottfried Benn
Gottfried Kinkel
Gotthold Ephraim Lessing
Grace Beacham Freeman
Grace Nichols
Grace Paley
Grace Stone Coates
Grazyna Miller
Grażyna Wojcieszko
Gregory Corso
Gregory Fraser
Gregory Orr
Gregory Woods
Guda Anjaiah
Guido Cavalcanti
Guido Guinizelli
Guillaume Apollinaire
Guillaume de Lorris
Guillaume de Salluste Du Bartas
Guiot de Provins
Guru Amar Das
Guru Angad
Guru Arjan
Guru Gobind Singh
Guru Nanak Dev
Guru Ram Das
Guru Tegh Bahadur
Gustavo Adolfo Bécquer
Guy Davenport
Gwen Harwood
Gwendolyn B. Bennett
Gwendolyn Brooks
Gwendolyn MacEwen
Gwyneth Lewis
Gyula Illyés
Gyula Juhász
Gyula Szentessy
György Csanády
György Faludy
György Károly
Gábor Dayka
Gábor Görgey
Gábor Nógrádi
Gáspár Nagy
Gérald Godin
Gérard de Nerval
Géza Gyóni
Géza Képes
Géza Röhrig
Gül Baba
Günter Grass
H. L. Hix
Ha Seung-moo
Hai Zi
Haki R. Madhubuti
Halima Xudoyberdiyeva
Halina Konopacka
Halina Poświatowska
Hamish Henderson
Hamlin Garland
Han Yu
Hannah Weiner
Hans Adolph Brorson
Hans Christian Andersen
Hans Magnus Enzensberger
Hans Wollschläger
Harivansh Rai Bachchan
Harold Acton
Harold Monro
Harriet Monroe
Harry Martinson
Harry Northup
Hart Crane
Hartley Coleridge
Haydar Ergülen
Hayden Carruth
Heathcote Williams
Heather McHugh
Hector Macneill
Hedd Wyn
Hedwig Gorski
Heinrich Böll
Heinrich Heine
Helen Adam
Helen Bevington
Helen Dunmore
Helen Vendler
Helen von Kolnitz Hyer
Helene Johnson
Hendrik Adamson
Hendrik Doeff
Henri Chopin
Henri Michaux
Henrik Johan Ibsen
Henry Abbey
Henry Austin Dobson
Henry Carey
Henry Constable
Henry David Thoreau
Henry Fielding
"Henry Howard, Earl of Surrey"
Henry John Newbolt
Henry King
Henry Kirke White
Henry Lawson
Henry Meyer
Henry Neele
Henry Normal
Henry Parrot
Henry Reed
Henry S. Taylor
Henry Taylor
Henry Vaughan
Henry Wadsworth Longfellow
Henryka Łazowertówna
Herbert Asquith
Herbert Read
Herman Gorter
Herman Melville
Hermann Georg Scheffauer
Hermann Hesse
Hilaire Belloc
Hilda Hilst
Hilda Siller
Hinemoana Baker
Hirato Renkichi
Hisashi Okuyama
Hone Tuwhare
Horace Gregory
Houshang Ebtehaj
Hovhannes Shiraz
Hovhannes Tumanyan
Howard Moss
Howard Nemerov
Hristo Botev
Hristo Smirnenski
Hristofor Zhefarovich
Hugh Antoine d'Arcy
Hugh MacDiarmid
Hugh Seidman
Hugh Sykes Davies
Hugo Claus
Hugo von Hofmannsthal
Huldrych Zwingli
Hwang Myung
Hélène Cixous
Hồ Xuân Hương
Iain Lom
Ian Hamilton Finlay
Ian McMillan
Ian Young
Ignacy Krasicki
Ignazio Buttitta
Igo Gruden
Ilmar Laaban
Ilona Hegedűs
Ilya Kaminsky
Imadaddin Nasimi
Imre Augustich
Imtiaz Dharker
Indran Amirthanayagam
Inge Israel
Ingeborg Bachmann
Isaac Rosenberg
Isaac Watts
Isabella Gardner
Isabella Kelly
Isabella Whitney
Ishaaq bin Ahmed
Ishmael Reed
Istvan Rozanich
István Gyöngyösi
István Koháry
István Péter Németh
István Ágh
Ivan Bunin
Ivan Cankar
Ivan Gundulić
Ivan V. Lalić
Ivan Vazov
Ivor Cutler
Ivor Gurney
Iya Kiva
J. D. McClatchy
J. H. Prynne
J. K. Annand
J. O. Morgan
J. P. Farrell
J. Patrick Lewis
Jaan Kaplinski
Jace Miller
Jacek Dehnel
Jacek Podsiadło
Jacint Verdaguer
Jack Clemo
Jack Gilbert
Jack Kerouac
Jack Lindeman
Jacobus Revius
Jacopo Sannazaro
Jacques Prévert
Jacquie Sturm
Jaime Sabines
Jaishankar Prasad
Jaki Shelton Green
Jakobe Mansztajn
Jalu Kurek
Jalāl ad-Dīn Muhammad Balkhi Rumi
Jamal Jumá
James Agee
James Alexander Allan
James Avery
James Berry
James Brown
James Clarence Mangan
James Deahl
James Dickey
James Fenton
James Galvin
"James Graham, 1st Marquess of Montrose"
James Hogg
"James I, King of Scots"
James Joyce
James K. Baxter
James L. White
James Larkin Pearson
James Laughlin
James Macpherson
James Martin Fenton
James McAuley
James McIntyre
James McMichael
James Merrill
James Reaney
James Reeves
James Reiss
James Russell Lowell
James Schuyler
James Shirley
James Still
James Stout Angus
James Tate
James Thomson
James VI and I
James Vincent Cunningham
James Weldon Johnson
James Whitcomb Riley
James Wright
Jan Andrzej Morsztyn
Jan Beatty
Jan Brzechwa
Jan Campert
Jan Kasprowicz
Jan Kochanowski
Jan Lechoń
Jan Neruda
Jan Nisar Akhtar
Jan Stanisław Skorupski
Jan Theuninck
Jan Twardowski
Jane Draycott
Jane Griffiths
Jane Hirshfield
Jane Kenyon
Jane Miller
Jane Taylor
Jane Wilde
Janet Frame
Janus Pannonius
Janusz Szpotański
Jared Carter
Jarkko Laine
Jaroslav Seifert
Jarosław Iwaszkiewicz
Jarosław Marek Rymkiewicz
Javed Akhtar
Jay Wright
Jayanta Mahapatra
Jaydeep Sarangi
Jayne Cortez
"Jean ""Binta"" Breeze"
Jean Arp
Jean Bodel
Jean Chapelain
Jean Chopinel
Jean Cocteau
Jean Daurat
Jean Follain
Jean Froissart
Jean Garrigue
Jean Louis De Esque
Jean Racine
Jean Toomer
Jean de La Fontaine
Jean-Pierre Vallotton
Jeff Unaegbu
Jeffrey Daniels
Jennifer K Dick
Jennifer Michael Hecht
Jennifer Militello
Jenny Joseph
Jenny Lind Porter
Jens Mungard
Jeremi Przybora
Jerzy Ficowski
Jerzy Liebert
Jerzy Żuławski
Jesse Ball
Jesse Stuart
Jia Dao
Jibanananda Das
Jill Alexander Essbaum
Jim Bennett
Jim Carroll
Jim Harrison
Jim Kacian
Jim Morrison
Jimmy Santiago Baca
Jo Shapcott
Joachim du Bellay
Joan Adeney Easdale
Joan Brossa
Joan Houlihan
Joan Murray
Joana Vaz
Joanna Baillie
Joanna Lech
Joaquin Miller
Jody Azzouni
Joe Corrie
Joe Dolce
Johan Andreas Dèr Mouw
Johan Herman Wessel
Johan Ludvig Runeberg
Johann Gottfried Herder
Johann Wolfgang von Goethe
Johanna Schouten-Elsenhout
Johannes Anyuru
Johannes Bobrowski
Johannes Secundus
Johannes V. Jensen
John Adams
John Agard
John Ashbery
John Balaban
John Barbour
John Berryman
John Betjeman
John Burnside
John Ceiriog Hughes
John Chalkhill
John Ciardi
John Clanvowe
John Clare
John Crowe Ransom
John Davidson
John Donne
John Drinkwater
John Dryden
John F. Deane
John Fletcher
John Forbes
John Ford
John Fuller
John Furnival
John Gay
John Gillespie Magee Jr.
John Gould Fletcher
John Gower
John Greenleaf Whittier
John Haines
John Harold Hewitt
John Heath-Stubbs
John Hegley
John Henry Newman
John Hollander
John Keats
John Kinsella
John Leonard
John Lydgate
John Lyly
John M. Ford
John Marston
John Masefield
John McCrae
John Millington Synge
John Milton
John Montague
John Morgan
John Neal
John Neihardt
John Pomfret
John Reuben Thompson
John Richardson
John Riley
John Skelton
John Thelwall
John Thompson
John Updike
John W. Sexton
John Wain
John Webster
John Wieners
John Wilkinson
"John Wilmot, Earl of Rochester"
John of the Cross
Jon Beck Shank
Jon Davis
Jon Silkin
Jon Stallworthy
Jonathan Aaron
Jonathan Swift
Jonathan Williams
Joost van den Vondel
Jorge Guillén
Jorge Luis Borges
Jorie Graham
Jose Garcia Villa
Joseph Addison
Joseph Auslander
Joseph Bathanti
Joseph Brodsky
Joseph Fasano
Joseph Freiherr von Eichendorff
Joseph M. Bachelor
Joseph Payne Brennan
Joseph Stefan
Joseph Stroud
Joseph Thurston
Josephine D. Heard
Josephine Jacobsen
Josephine Miles
Josh Malihabadi
Joshua Beckman
Joshua Sylvester
Josip Murn Aleksandrov
José Lezama Lima
José Luis Rodríguez Pittí
José Martí
Jovan Dučić
Jovan Jovanović Zmaj
Jovan Sundečić
Jovan Ćirilov
Jovica Tasevski-Eternijan
Joy Harjo
Joyce Kilmer
Juan Felipe Herrera
Juan Gelman
Juan Ramón Jiménez
Juan de Dios Filiberto
Judit Dukai Takách
Judit Vihar
Judith Ortiz Cofer
Judith Pordon
Judith Wright
Jules Laforgue
Julia Alvarez
Julia Anne Elliott
Julia Copus
Julia Hartwig
Julia Kasdorf
Julia Nyberg
Julian Kornhauser
Julian Turner
Julian Tuwim
Julian Ursyn Niemcewicz
Julio Baghy
Juliusz Słowacki
Juliusz Żuławski
Jumoke Verissimo
June Jordan
János Aczél
János Arany
János Batsányi
János Erdélyi
János Garay
János Majláth
János Mattis-Teutsch
János Vajda
Józef Baka
Józef Bohdan Zaleski
Józef Czechowicz
Józef Krupiński
Józef Wybicki
Józef Łobodowski
József Bajza
József Katona
József Kossics
Jūkichi Yagi
Kamau Brathwaite
Karen Swenson
Karina Galvez
Karl Adolph Gjellerup
Karl May
Karl Shapiro
Kata Szidónia Petrőczy
Katarzyna Ewa Zdanowicz-Cyganiak
Katarzyna Krenz
Kate Clanchy
Katherine Philips
Kathleen Peirce
Kathleen Raine
Kathryn Stripling Byer
Kathy Acker
Kavisekhara Dr Umar Alisha
Kay Boyle
Kay Ryan
Kazi Nazrul Islam
Kazimiera Zawistowska
Kazimierz Przerwa-Tetmajer
Kazimierz Wierzyński
Keith Douglas
Keki Daruwalla
Kelli Russell Agodon
Kelly Ana Morey
Kelly Cherry
Ken Babstock
Ken Brewer
Kendrick Lamar
Kenneth Koch
Kenneth Patchen
Kenneth Rexroth
Kenneth Slessor
Keorapetse Kgositsile
Keri Hulme
Kersti Merilaas
Kevin Andrews
Kevin Prufer
Kevin Young
Khadijah Ibrahiim
Khalil Gibran
Khawar Rizvi
"Kherdian, David"
Khushal Khan Khattak
Khwaju Kermani
Kim Addonizio
Kinga Fabó
Kingsley Amis
Klemens Janicki
Kobayashi Issa
Konstantin Balmont
Konstanty Ildefons Gałczyński
Kornel Ujejski
Kosta Abrašević
Krayem Awad
Kristín Eiríksdóttir
Krisztina Tóth
Krystyna Lenkowska
Krzysztof Kamil Baczyński
Kurt Boone
Kurt Tucholsky
Kwame Dawes
Kyoshi Takahama
Kálmán Kalocsay
Kálmán Thaly
Kálmán Tóth
Károly Fellinger
L. S. Bevington
Lady Mary Wroth
Laird Barron
Lajos Dóczi
Lajos Kassák
Lajos Parti Nagy
Lajos Áprily
Lakshmi Prasad Devkota
Lale Müldür
Lalitha Lenin
Lam Quang My
Langston Hughes
Larry Levis
Lars Gustafsson
Lasana M. Sekou
Lascelles Abercrombie
Lasus of Hermione
Laura Kasischke
Laura Mullen
Laura Riding
Laura Ulewicz
Laurence Binyon
Lawrence Durrell
Lawrence Ferlinghetti
Lawson Fusao Inada
Laxmi Prasad Devkota
Laza Kostić
Leah Goldberg
Leandro Fernández de Moratín
Leconte de Lisle
Lee Gurga
Leetile Disang Raditladi
Leigh Hunt
Lekhnath Paudyal
Lemn Sissay
Lenrie Peters
Leo Yankevich
Leon Pasternak
Leonard Cohen
Leopold Staff
Les Barker
Les Murray
Les Wicks
Leslie Adrienne Miller
Leslie Scalapino
