name
APJ Abdul Kalam
Aage Bohr
Ernst Brüche
Ernst Chladni
Ernst Ising
Ernst Karl Abbe
Ernst Mach
Ernst Stueckelberg
Erwin Fues
Erwin Schrödinger
Ettore Majorana
Eugene Feenberg
Eugene T. Booth
Eugene Wigner
Eva Silverstein
Evangelista Torricelli
Evans Hayward
Evgeny Lifshitz
Evgeny Velikhov
Ewald Wollny
Ezra Getzler
F. J. Duarte
Felicie Albert
Felix Bloch
Felix Ehrenhaft
Feza Gürsey
Floyd K. Richtmyer
Francis G. Slack
Francisco José Ynduráin
Frank J. Tipler
Frank Wilczek
Franz Aepinus
Franz Mandl
Franz S. Exner
François Arago
François Englert
Fred Alan Wolf
Fred Hoyle
Frederick Grover
Frederick J. Ernst
Frederick Reines
Frederick Seitz
Freeman Dyson
Friedrich Burmeister
Friedrich Ernst Dorn
Friedrich Hasenöhrl
Friedrich Hund
Fritjof Capra
Frits Zernike
Fritz Houtermans
Fritz Zwicky
Fulvio Melia
Félix Savart
Félix Ynduráin
G. N. Glasoe
G. V. Skrotskii
Gabriel Jonas Lippmann
Gabriele Rabel
Gabriele Veneziano
Gaetano Vignola
Galileo Galilei
Gari Clifford
Gaspard-Gustave Coriolis
Geneva Smith Douglas
Geoffrey Chew
Geoffrey Ingram Taylor
Georg Ohm
George B. Pegram
George E. Smith
George Eugene Uhlenbeck
George Francis FitzGerald
George Gabriel Stokes
George Gamow
George Paget Thomson
George Smoot
George Sterman
George Sudarshan
George W. Clark
George William Hill
George Zweig
Georges Charpak
Georges Lemaître
Georges Sagnac
Georges Zissis
Georges-Louis le Sage
Georgy Flyorov
Gerald Feinberg
Gerald Goertzel
Gerard K. O'Neill
Gerardus 't Hooft
Gerd Binnig
Gersh Budker
Gian-Carlo Wick
Gilbert Ronald Bainbridge
Giovanni Battista Venturi
Giovanni Ciccotti
Giulio Racah
Gladys Mackenzie
Gleb Wataghin
Gottfried Wilhelm Leibniz
Gregor Wentzel
Gregory Jaczko
Grigory Landsberg
Guglielmo Marconi
Gunnar Nordström
Gurgen Askaryan
Gustaf Dalén
Gustav Kirchhoff
Gustav Ludwig Hertz
Gustave-Adolphe Hirn
H. Pierre Noyes
Hagen Kleinert
Haim Sompolinsky
Hannes Olof Gösta Alfvén
Hanoch Gutfreund
Hans Bethe
Hans Buchdahl
Hans Christian Ørsted
Hans Geiger
Hans Georg Dehmelt
Hans Henrik Andersen
Hans Ziegler
Harald Fuchs
Harrie Massey
Hasan Abdullayev
Heike Kamerlingh Onnes
Heinrich Kayser
Heinrich Rohrer
Heinrich Rudolf Hertz
Heinrich Welker
Heinz Barwich
Heinz Pagels
Heinz Pose
Helen Quinn
Helmut Hönl
Hendrik Casimir
Hendrik Kramers
Hendrik Lorentz
Henk Dorgelo
Henri Becquerel
Henri Poincaré
Henry Cavendish
Henry Margenau
Henry Moseley
Henry Stapp
Henry Way Kendall
Heraclides Ponticus
Herbert Kroemer
Herbert L. Anderson
Herman Feshbach
Herman Verlinde
Hermann Brück
Hermann Weyl
Hermann von Helmholtz
Hideki Yukawa
Hideo Ohno
Hippolyte Fizeau
Hiranmay Sen Gupta
Holger Bech Nielsen
Homi J. Bhabha
Horst Ludwig Störmer
Howard Brandt
Howard Georgi
Huanyu Wang
Hubert Reeves
Hugh David Politzer
Ibn al-Haytham
Igor Ternov
Igor Vasilyevich Kurchatov
Igor Yevgenyevich Tamm
Ilya Frank
Ilya Prigogine
Irving Langmuir
Irène Joliot-Curie
Isaac Beeckman
Isaak Markovich Khalatnikov
Isidor Isaac Rabi
Isidor Sauers
Ivan Pulyuy
Ivar Giaever
J. J. Thomson
Jack Kilby
Jack Steinberger
Jacob Bekenstein
Jagadeesh Moodera
Jagadish Chandra Bose
Jainendra Jain
Jamal Nazrul Islam
James Alfred Ewing
James Binney
James Bjorken
James C. Davenport
James Chadwick
James Clerk Maxwell
James Cronin
James David Forbes
James Dewar
James E. Faller
James Franck
James Glimm
James Prescott Joule
James Rainwater
James W. LaBelle
James Wait
James Watt
Jan Zaanen
Janette Dunlop
Janne Rydberg
Jayant Narlikar
Jean Baptiste Perrin
Jean Dalibard
Jean Henri van Swinden
Jean Peltier
Jean le Rond d'Alembert
Jean-Baptiste Biot
Jean-Pierre Vigier
Jeff Forshaw
Jeffrey Goldstone
Jens Martin Knudsen
Jerome Isaac Friedman
Jim Al-Khalili
Joan Maie Freeman
Jocelyn Bell Burnell
Jogesh Pati
Johann Baptiste Horvath
Johann Georg Tralles
Johann Gottlieb Nörremberg
Johann Jakob Balmer
Johann Josef Loschmidt
Johannes Bosscha
Johannes Diderik van der Waals
Johannes Fischer
Johannes Georg Bednorz
Johannes Hans Daniel Jensen
Johannes Kepler
Johannes Martinus Burgers
Johannes Stark
John Alexander Simpson
John Archibald Wheeler
John Bardeen
John C. Slater
John Clauser
John Clive Ward
John Cockcroft
John Cromwell Mather
John Dalton
John E. Allen
John Ellis
John G. Hartnett
John Gribbin
John H. Hubbell
John Hasbrouck van Vleck
John Henry Poynting
John Henry Schwarz
John Herapath
John Hopkinson
John Hubbard
John Iliopoulos
John J. Montgomery
John J. Turin
John James Waterston
John Kerr
John Latham
John Lennard-Jones
John Leslie
John Lewis Hall
John Linsley
John Norris Bahcall
John Nye
John Pasta
John Polkinghorne
John R. Winckler
John Robert Schrieffer
John Stewart Bell
John Townsend
John Tyndall
John Zeleny
John von Neumann
Jonathan Dowling
Joseph Fourier
Joseph H. Eberly
Joseph Henry
"Joseph Hooton Taylor, Jr."
Joseph Larmor
Joseph Louis Gay-Lussac
Joseph Lykken
Joseph Plateau
Joseph Polchinski
Joseph Romm
Joseph Rotblat
Joseph Stefan
Joseph Swan
Joseph von Fraunhofer
Joseph-Louis Lagrange
Josiah Willard Gibbs
José Enrique Moyal
Joël Scherk
Juan Martín Maldacena
Juansher Chkareuli
Jules Aarons
Julian Schwinger
Julianne Pollard-Larkin
Julius Adams Stratton
Juris Upatnieks
Kai Siegbahn
Kan-Chang Wang
Karl Alexander Müller
Karl Bechert
Karl Compton
Karl Ferdinand Braun
Karl Glitscher
Karl Herzfeld
Karl L. Littrow
Karl Schwarzschild
Karl Wirtz
Karl Zimmer
Karl-Heinrich Riewe
Katherine Weimer
Kathryn Moler
Katie Mack 
Kazimierz Fajans
Kees A. Schouhamer Immink
Kendal Nezan
Kenneth Geddes Wilson
Kenneth Lane
Kenneth Young
Kip Stephen Thorne
Klaus von Klitzing
Konstantin Novoselov
Konstantin Petrzhak
Lars Bildsten
Lars Onsager
Laura Eisenstein
Laura Maria Caterina Bassi
Laurence D. Marks
Lawrence M. Krauss
Lee Smolin
Lene Vestergaard Hau
Leo Esaki
Leo Graetz
Leo Szilard
Leon Cooper
Leon Max Lederman
Leonard Salomon Ornstein
Leonard Sander
Leonard Strachan
Leonard Susskind
Leonardo da Vinci
Leonhard Euler
Leonid Isaakovich Mandelshtam
Leopoldo Nobili
Lev Artsimovich
Lev Davidovich Landau
Lev Gor'kov
Lev Shubnikov
Lew Kowarski
Lewi Tonks
Lincoln Wolfenstein
Lindsay LeBlanc
Lisa Randall
Lise Meitner
Lord Rayleigh
Lorella Jones
Loránd Eötvös
Lothar Nordheim
Louis Essen
Louis Néel
Louis Rendu
Louis Slotin
Louis-Victor de Broglie
Louise Dolan
Luciano Maiani
Ludvig Faddeev
Ludvig Lorenz
Ludwig Boltzmann
Ludwig Prandtl
Ludwig Waldmann
Ludwig Zehnder
Ludwik Silberstein
Luigi Galvani
Luigi Puccianti
Luis Walter Alvarez
Léon Foucault
Léon Nicolas Brillouin
Léon Van Hove
M. Cristina Marchetti
M. G. K. Menon
Macedonio Melloni
Maha Ashour-Abdalla
Mahmoud Hessaby
Makoto Kobayashi
Manfred Eigen
Manfred von Ardenne
Mani Lal Bhaumik
Manne Siegbahn
Mar Gómez
Marcel Audiffren
Marcel Brillouin
Marcela Carena
Marcia Barbosa
Margrete Heiberg Bose
Maria Goeppert Mayer
Maria Goeppert-Mayer
Maria Spiropulu
Marian Smoluchowski
Marie Alfred Cornu
Marie Curie
Mario Petrucci
Marissa Giustina
Mark B. Wise
Mark Bowick
Mark G. Raizen
Mark Oliphant
Marlan Scully
Marshall Rosenbluth
Martin Bojowald
Martin Gutzwiller
Martin John Rees
Martin Knudsen
Martin Lewis Perl
Martin Ryle
Martin Schadt
Martinus J. G. Veltman
Marvin D. Girardeau
Marvin Leonard Goldberger
Mary K. Gaillard
Mary Laura Chalk Rowles
Masatoshi Koshiba
Matthew Koss
Maurice Goldhaber
Maurice Loewy
Max Born
Max Delbrück
Max Planck
Max Steenbeck
Max Tegmark
Max Volmer
Max von Laue
Maxim Chernodub
Meenakshi Narain
Megh Nad Saha
Melvin Lax
Melvin Schwartz
Menas Kafatos
Mendel Sachs
Merritt Moore
Michael Faraday
Michael Green 
Michael R. Douglas
Michael Woolfson
Michio Kaku
Miguel Alcubierre
Mihajlo Idvorski Pupin
Mikhail Lavrentyev
Mikhail Lomonosov
Mikhail Shifman
Mikhail Vasilievich Ostrogradsky
Mildred Dresselhaus
Milla Baldo-Ceolin
Milton S. Plesset
Mina Aganagic
Mitchell Feigenbaum
Moses H. W. Chan
Moshe Kaveh
Murray Gell-Mann
Mustapha Ishak Boushaki
Naomi Ginsberg
Nathan Isgur
Nathan Rosen
Nathan Seiberg
Neil Ashby
Neil Turok
Neil deGrasse Tyson
Nevill Mott
Nicholas Christofilos
Nicola Cabibbo
Nicola Spaldin
Nicolaas Bloembergen
Nicolas Léonard Sadi Carnot
Nicolaus Copernicus
Nicole Oresme
Nicolás Cabrera
Niels Bohr
Nikolaus Riehl
Nikolay Basov
Nikolay Bogolyubov
Nikolay Semyonov
Nikolay Sergeevich Krylov
Nikolay Umov
Nima Arkani-Hamed
Nina Marković
"Norman Foster Ramsey, Jr."
Oleg Losev
Oleg Sushkov
Oliver Heaviside
Oliver Lodge
Oriol Valls
Orion Ciftja
Osborne Reynolds
Oscar Sala
Oskar Klein
Otto Frisch
Otto Hahn
Otto Scherzer
Otto Stern
Owen Chamberlain
Owen Willans Richardson
Pamela L. Gay
Pascual Jordan
Patrick Blackett
Paul Crowell
Paul Davies
Paul Dirac
Paul Drude
Paul Ehrenfest
Paul G. Hewitt
Paul Harteck
Paul J. Steinhardt
Paul John Ellis
Paul Langevin
Paul Peter Ewald
Paul Werbos
Pavel Alekseyevich Cherenkov
Per-Olov Löwdin
Percy Williams Bridgman
Pervez Hoodbhoy
Peter Adolf Thiessen
Peter Andreas Hansen
Peter Debije
Peter Freund
Peter Goddard
Peter Grünberg
Peter Higgs
Peter Mansfield
Peter Westervelt
Peter Zoller
Petr Paucek
Philip Warren Anderson
Philipp Lenard
Phyllis S. Freier
Piara Singh Gill
Pierre Curie
Pierre Louis Dulong
Pierre Victor Auger
Pierre-Gilles de Gennes
Pierre-Simon Laplace
Pieter Zeeman
Pieter van Musschenbroek
Polykarp Kusch
Predhiman Krishan Kaw
Predrag Cvitanović
Pu  Wang
Pyotr Kapitsa
Pyotr Nikolaevich Lebedev
Quirino Navarro
Rabindra Nath Mohapatra
Rachel Takserman-Krozer
Rafael Sorkin
Rainer K. Sachs
Rainer Weiss
Ralph Asher Alpher
Ralph H. Fowler
Ralph Kronig
Ramón E. López
Ranjan Roy Daniel
Rashid Sunyaev
Ratko Janev
Ravi Gomatam
Ray Mackintosh
"Raymond Davis, Jr."
Raymond Seeger
Raymond T. Birge
Raúl Rabadán
René Antoine Ferchault de Réaumur
René Descartes
Revaz Dogonadze
Ricardo Carezani
Riccardo Barbieri
Riccardo Giacconi
Riccardo Rattazzi
Richard A. Muller
Richard Clegg
Richard Dalitz
Richard Edward Taylor
Richard Feynman
Richard Keith Ellis
Richard Makinson
Robbert Dijkgraaf
Robert Adler
Robert Andrews Millikan
Robert B. Leighton
Robert Betts Laughlin
Robert Boyle
Robert Coleman Richardson
Robert D. Richtmyer
Robert Döpel
Robert G. Sachs
Robert Hofstadter
Robert Hooke
Robert K. Logan
Robert Marshak
Robert Mills
J. Robert Oppenheimer
Robert R. Wilson
Robert S. Mulliken
Robert Serber
Robert Woodrow Wilson
Robert Zwanzig
Robert von Lieben
Roger Penrose
Rolf Landauer
Roman Jackiw
Roman U. Sexl
Ronald E. McNair
Ronald Hugh Barker
Rosalind Franklin
Rosalyn Yalow
Roy Jay Glauber
Ruby Payne-Scott
Rudjer Josip Boscovich
Rudolf Clausius
Rudolf Haag
Rudolf Mössbauer
Rudolf Peierls
Russell Alan Hulse
Ryogo Kubo
Sabine Kraml
Sabrina Gonzalez Pasterski
Sam Treiman
Samuel Chao Chung Ting
Samuel Goudsmit
Samuel King Allison
Samuel T. Durrance
Samuel Tolansky
Sanja Damjanović
Satyendra Nath Bose
Sau Lan Wu
Saul Perlmutter
Savas Dimopoulos
Scott Diddams
Semen Altshuler
Serge Haroche
Serge Rudaz
Sergei Tyablikov
Sergei Vavilov
Serguei Krasnikov
Seth Lloyd
Seth Neddermeyer
Shaiwatna Kupratakul
Sheldon Glashow
Shen Kuo
Shiraz Minwalla
Shirley Ann Jackson
Shoichi Sakata
Sidney Drell
Sidney Redner
Siebren van der Werf
Silke Bühler-Paschen
Silke Ospelkaus
Silke Weinfurtner
Simon Newcomb
Simon Stevin
Simon van der Meer
Siméon Denis Poisson
Sin-Itiro Tomonaga
Sir Isaac Newton
Sir James Jeans
Sir William Crookes
Sixto González
Stanislav Mikheyev
Stanislaw Ulam
Stephen Hawking
Stephen L. Adler
Stephen Paul
Stephen Wolfram
Steven Chu
Steven Frautschi
Steven Weinberg
Subir Sachdev
Subrahmanyan Chandrasekhar
Subrata Roy 
Sudhansu Datta Majumdar
Sumio Iijima
Susumu Okubo
Swapan Chattopadhyay
Sylvester James Gates
TH Laby
Tahir Hussain
Tai Tsun Wu
Takaaki Kajita
Tamitha Skov
Tanya Monro
Terence James Elkins
Thanu Padmanabhan
Theodor Kaluza
Theodor Wolfgang Hänsch
Theodore Maiman
Theodore von Kármán
Thomas Corwin Mendenhall
Thomas E. Cravens
Thomas Edison
Thomas H. Stix
Thomas Johann Seebeck
Thomas Young
Toichiro Kinoshita
Tom Baehr-Jones
Tom Banks
Toshihide Maskawa
Tsao Chang
Tsung-Dao Lee
Tullio Regge
Tycho Brahe
Ulrike Diebold
Uri Sivan
V Balakrishnan
Val Logsdon Fitch
Valentine Telegdi
Valerie Gibson
Vania Jordanova
Vera Rubin
Veronika Hubeny
Victor Francis Hess
Victor Frederick Weisskopf
Victor Twersky
Vikram Sarabhai
Viktor Ambartsumian
Viktor Dilman
Vilhelm Bjerknes
Vipin Kumar Tripathi
Vitaly Lazarevich Ginzburg
Vladimir Fock
Vladimir Gribov
Vlatko Vedral
W.W. Hansen
Walter Boas
Walter Franz
Walter Gerlach
Walter H. Schottky
Walter Heitler
Walter Houser Brattain
Walter Lewin
Walter Marshall
Walther Bothe
Walther Kossel
Walther Ritz
Wander Johannes de Haas
Ward Plummer
Werner Heisenberg
Werner Israel
Wernher von Braun
Wilhelm Conrad Röntgen
Wilhelm Weber
Wilhelm Wien
Willard S. Boyle
Willebrord Snell
Willem 's Gravesande
Willem Hendrik Keesom
Willem de Sitter
William A. Bardeen
William Alfred Fowler
William Allis
William Daniel Phillips
William Eccles
"William Fuller Brown, Jr."
William Gilbert
William Henry Bragg
William Lawrence Bragg
William Markowitz
William Prout
William R. Kanne
William Rowan Hamilton
William Shockley
William Thomson 
William V. Houston
Willibald Peter Prasthofer
Willis Lamb
Willy Fischler
Wojciech H. Zurek
Woldemar Voigt
Wolfgang Finkelnburg
Wolfgang K. H. Panofsky
Wolfgang Ketterle
Wolfgang Paul
Wolfgang Pauli
Xiaoyi Bao
Xuesen Qian
Yakov Borisovich Zel'dovich
Yakov Frenkel
Yakov Lvovich Alpert
Yasha Rosenfeld
Yoichiro Nambu
Yoji Totsuka
Yoshinori Tokura
Yulii Borisovich Khariton
Yuri Oganessian
Yuri Orlov
Yuval Ne'eman
Zaira Ollano
Zeinabou Mindaoudou Souley
Zhores Ivanovich Alferov
Zhuxi Wang
Zoltán Lajos Bay
Zongfu Yu
Émile Verdet
Émilie du Châtelet
Étienne-Gaspard Robert
Étienne-Louis Malus
